Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create-Account,461,1100,728,2369,229.60,0.000%,2.56040,0.79,1.23,317.0
Comment-Post,895,2143,1508,4986,362.70,0.000%,4.92427,2.46,2.48,511.0
Login,1423,2165,1527,5263,411.46,0.000%,7.83595,4.13,3.44,540.0
Add-Post,601,2147,1558,5125,369.93,0.000%,3.31954,1.56,1.54,481.0
Edit-Profile,573,3201,2054,6933,536.85,0.000%,3.14792,0.95,1.64,309.0
Subscribe,1016,2372,1478,5425,683.35,0.000%,5.59074,1.84,2.66,337.8
Like-Post,1330,2382,1559,6785,664.30,0.000%,7.30023,2.39,3.33,334.6
Unlike-Post,425,2151,1666,5264,394.05,0.000%,2.38900,0.97,1.09,415.9
ToggleFollowOn,581,2965,1821,6816,556.46,0.000%,3.26234,1.00,1.64,314.4
Unsubscribe,283,2951,1894,5251,540.73,0.000%,1.59051,0.49,0.70,314.4
ToggleFollowOff,139,3126,1884,6628,758.09,0.000%,.79802,0.24,0.40,312.3
TOTAL,7727,2344,728,6933,698.64,0.000%,42.41270,16.71,20.01,403.5
